=== Sheet: 怪物组合 (dims=A1:H63, rows=63, cols=8) ===
怪物组合总览 |  |  |  |  |  |  | 
洞穴层 |  |  |  |  |  |  | 
敌方阵容（前+中+后） | 每回合能量 | 每回合抽牌 | 缩放：伤害每3层+1，护甲每5层+1，HP每层+1.5（v0.8平衡版） | 战斗类型 | 遭遇层数/地形 | 战斗后经验奖励 | 备注
精英幽灵 + 巨翼蝙蝠 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 25-34层/地牢 | 17-22经验 | 
精英骷髅 + 精英骷髅 + 精英骷髅 | 4 | 5 | 是 | 普通战斗 | 25-39层/地牢 | 17-22经验 | 
精英幽灵 + 精英幽灵 + 精英幽灵 | 4 | 5 | 是 | 普通战斗 | 25-39层/地牢 | 17-22经验 | 
巨型蝙蝠 + 巨型蝙蝠 | 4 | 5 | 是 | 普通战斗 | 25-39层/地牢 | 17-22经验 | 
鼠人 + 鼠人 + 精英骷髅 | 4 | 5 | 是 | 精英战斗 | 21-24层/地牢 | 30-35经验 | 
鼠人 + 鼠人 + 精英幽灵 | 4 | 5 | 是 | 精英战斗 | 21-24层/地牢 | 30-35经验 | 
石像鬼 + 石像鬼  | 4 | 5 | 是 | 精英战斗 | 21-34层/地牢 | 30-35经验 | 25层前遭遇概率略低
石像鬼 + 骷髅兵 + 蜘蛛贵妇 | 4 | 5 | 是 | 精英战斗 | 21-34层/地牢 | 30-35经验 | 25层前遭遇概率略低
鼠人 + 鼠人 + 鼠人 | 4 | 5 | 是 | 精英战斗 | 25-39层/地牢 | 30-35经验 | 30层前遭遇概率略低
石像鬼 + 石傀儡 | 4 | 5 | 是 | 精英战斗 | 25-39层/地牢 | 30-35经验 | 
石傀儡 + 蜘蛛贵妇 | 4 | 5 | 是 | 精英战斗 | 25-39层/地牢 | 30-35经验 | 
地牢Boss占位 | 4 | 5 | 否 | Boss战斗 | 40层/地牢 | 60经验 | 
海渊层 |  |  |  |  |  |  | 
人鱼战士 + 人鱼战士 | 4 | 5 | 是 | 普通战斗 | 41-49层/海渊 | 24-30经验 | 
人鱼战士 + 踏潮守卫 | 4 | 5 | 是 | 普通战斗 | 41-49层/海渊 | 24-30经验 | 
人鱼战士 + 锁链怨灵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 41-49层/海渊 | 24-30经验 | 
踏潮守卫 + 水母海巫 | 4 | 5 | 是 | 普通战斗 | 41-49层/海渊 | 24-30经验 | 
骷髅兵 + 骷髅兵 + 水母海巫 | 4 | 5 | 是 | 普通战斗 | 41-49层/海渊 | 24-30经验 | 
人鱼战士 + 水母海巫 + 精英幽灵 | 4 | 5 | 是 | 普通战斗 | 45-54层/海渊 | 24-30经验 | 
人鱼战士 + 人鱼战士 + 人鱼战士 | 4 | 5 | 是 | 普通战斗 | 45-54层/海渊 | 24-30经验 | 
踏潮守卫 + 踏潮守卫 + 水母海巫 | 4 | 5 | 是 | 普通战斗 | 45-54层/海渊 | 24-30经验 | 
人鱼战士 + 踏潮守卫 + 水母海巫 | 4 | 5 | 是 | 普通战斗 | 45-54层/海渊 | 24-30经验 | 
腐蚀蟹 + 深渊怪物 | 4 | 5 | 是 | 普通战斗 | 51-59层/海渊 | 24-30经验 | 
腐蚀蟹 + 踏潮守卫 | 4 | 5 | 是 | 普通战斗 | 51-59层/海渊 | 24-30经验 | 
人鱼战士 + 深渊怪物 | 4 | 5 | 是 | 普通战斗 | 51-59层/海渊 | 24-30经验 | 
人鱼战士 + 踏潮守卫 + 水母海巫 | 4 | 5 | 是 | 精英战斗 | 41-44层/海渊 | 36-46经验 | 
人鱼战士 + 人鱼战士 + 水母海巫 | 4 | 5 | 是 | 精英战斗 | 41-44层/海渊 | 36-46经验 | 
骷髅兵 + 骷髅兵 + 鬼灵海盗船长 | 4 | 5 | 是 | 精英战斗 | 45-49层/海渊 | 36-46经验 | 
精英骷髅 + 骷髅兵 + 鬼灵海盗船长 | 4 | 5 | 是 | 精英战斗 | 45-54层/海渊 | 36-46经验 | 
人鱼战士 + 踏潮守卫 + 鬼灵海盗船长 | 4 | 5 | 是 | 精英战斗 | 51-59层/海渊 | 36-46经验 | 
人鱼战士 + 人鱼战士 + 鬼灵海盗船长 | 4 | 5 | 是 | 精英战斗 | 51-59层/海渊 | 36-46经验 | 
腐蚀蟹 + 深渊怪物 + 水母海巫 | 4 | 5 | 是 | 精英战斗 | 51-59层/海渊 | 36-46经验 | 
深渊怪物 + 深渊怪物 + 水母海巫 | 4 | 5 | 是 | 精英战斗 | 51-59层/海渊 | 36-46经验 | 
海渊Boss占位 | 4 | 5 | 否 | Boss战斗 | 60层/海渊 | 80经验 | 
