=== Sheet: 卡牌 (dims=A1:S120, rows=120, cols=19) ===
角色 | 卡牌名称 | 费用 | 类型 | 职业 | 效果描述 | 卡牌稀有度 | 可升级次数 | 每次升级效果 | 升级所需经验 | 说明 |  |  |  |  | 初始牌组 | 角色 | 卡牌名称 | 数量
法老 | 亡灵诅咒 | 3 | 攻击 | 职业 | 【前/中/后】造成15伤害，对目标施加5层中毒（永久） | 蓝 | 5 | +1伤害，+1层中毒 | 15/级 |  |  |  |  |  |  |  |  | 
法老 | 日光审判 | 4 | 攻击 | 职业 | 【前/中/后】造成30伤害 | 蓝 | 5 | +4伤害 | 15/级 |  |  |  |  |  |  |  |  | 
法老 | 复活祝福 | 3 | 状态 | 职业 | 【快速启动】【消耗】给一名队友附加【复活】：HP归零时恢复25%HP。每场限1次 | 紫 | 5 | +5%恢复HP | 20/级 |  |  |  |  |  |  |  |  | 
法老 | 沙矛重塑 | 3 | 攻击 | 职业 | 【消耗】在本场远征中，你每使用过一张消耗牌，便随机对一个敌人造成4伤害 | 紫 | 5 | +1伤害 | 20/级 |  |  |  |  |  |  |  |  | 
法老 | 神圣灌注 | X | 状态 | 职业 | 【消耗】使友方角色使用的下一张牌重复使用一次，本卡消耗的能量等于下一张牌的费用+1 | 紫 | 1 | 费用-1 | 20/级 |  |  |  |  |  |  |  |  | 
法老 | 太阳神之怒 | X | 攻击 | 职业 | 【消耗】花费剩余所有能量，每花费一点能量，便随机使一个敌人随机获得以下五种效果之一：受到13伤害、获得20%破损（2回合）、获得20%易伤（2回合）、获得2层减速、获得5层灼烧 | 紫 | 5 | 额外重复一次 | 20/级 |  |  |  |  |  |  |  |  | 
法老 | 太阳神的庇佑 | X | 防御 | 职业 | 花费剩余所有能量，每花费一点能量，便重复一次使所有队友获得6护甲 | 紫 | 5 | +1护甲 | 20/级 |  |  |  |  |  |  |  |  | 
法老 | 腐朽化身 | 4 | 状态 | 职业 | 【消耗】本场战斗中，所有敌人在回合开始时获得2层中毒（永久） | 橙 | 8 | +1层中毒 | 30/级 |  |  |  |  |  |  |  |  | 
法老 | 阿努比斯化身 | 6 | 状态 | 职业 | 【消耗】在本场战斗中，临时获得额外50%的血量上限，50%增伤和50%强固，但接下来的两个回合不能出牌 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
法老 | 神圣轮回 | 5 | 状态 | 职业 | 【消耗】将弃牌堆中所有带消耗标签的牌重新洗回抽牌堆，并祛除他们的消耗标签 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
恶魔 | 暗影爪击 | 1 | 攻击 | 职业 | 【前/中】造成8伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
恶魔 | 恶魔诅咒 | 0 | 状态 | 职业 | 【前/中/后】施加10%虚弱 | 白 | 5 | +2%虚弱 | 8/级 |  |  |  |  |  |  |  |  | 
恶魔 | 恶魔之触 | 1 | 攻击 | 职业 | 【前/中】造成6伤害，回复等量HP | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
恶魔 | 鲜血铠甲 | 1 | 防御 | 职业 | 【献祭3HP】获得12护甲 | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  |  | 
恶魔 | 恶魔契约 | 2 | 状态 | 职业 | 【献祭5HP】抽2张牌，本回合获得10%增伤 | 白 | 2 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
恶魔 | 掠血之手 | 2 | 攻击 | 职业 | 【前/中】造成6伤害，给予目标20%破损和20%虚弱（2回合） | 绿 | 5 | +1伤害，+2%破损和虚弱 | 10/级 |  |  |  |  |  |  |  |  | 
恶魔 | 鲜血撕咬 | 1 | 攻击 | 职业 | 【前/中】造成7伤害。若本回合回复过生命值，伤害+100% | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  |  | 
恶魔 | 黑暗之雾 | 2 | 攻击 | 职业 | 【AOE】【献祭10HP】造成5伤害，给予目标20%虚弱（2回合） | 绿 | 5 | +1伤害，+2%虚弱 | 10/级 |  |  |  |  |  |  |  |  | 
恶魔 | 吸血光环 | 1 | 状态 | 职业 | 直到本回合结束，恶魔的攻击回复造成伤害30%的HP | 绿 | 5 | +5%回复HP | 10/级 |  |  |  |  |  |  |  |  | 
恶魔 | 血尾贯穿 | 2 | 攻击 | 职业 | 【前/中】造成14伤害，同时对身后位置的敌人造成80%的伤害 | 蓝 | 5 | +2伤害 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 生命虹吸 | 2 | 攻击 | 职业 | 【前/中】造成12伤害，回复等量HP | 蓝 | 5 | +1伤害 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 血焰爆发 | 2 | 攻击 | 职业 | 【前/中】【献祭8HP】造成22伤害 | 蓝 | 5 | +2伤害 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 黑暗撕裂 | 2 | 防御 | 职业 | 【应对攻击】获得50%减伤，对攻击者施加20%破损（永久） | 蓝 | 5 | +2%破损 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 灵魂撕裂 | 2 | 攻击 | 职业 | 【前/中/后】造成12伤害，无视护甲 | 蓝 | 5 | +2伤害 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 诅咒之链 | 2 | 攻击 | 职业 | 【快速启动】【前/中/后】造成10伤害，给予目标20%易伤（2回合） | 蓝 | 5 | +1伤害，目标受到的伤害+1 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 地狱烈焰 | 3 | 攻击 | 职业 | 【AOE】【献祭12HP】造成14伤害 | 蓝 | 5 | +1伤害 | 15/级 |  |  |  |  |  |  |  |  | 
恶魔 | 暗黑献祭 | 3 | 攻击 | 职业 | 【前/中】【献祭15HP】造成35伤害 | 紫 | 5 | +4伤害 | 20/级 |  |  |  |  |  |  |  |  | 
恶魔 | 鲜血狂欢 | 3 | 状态 | 职业 | 【消耗】在本场战斗中，每次献祭后获得5%增伤 | 紫 | 5 | +1%增伤 | 20/级 |  |  |  |  |  |  |  |  | 
恶魔 | 血族传承 | 3 | 状态 | 职业 | 【消耗】在本场战斗中，恶魔可以拥有150%的最大HP | 紫 | 5 | +5%最大HP | 20/级 |  |  |  |  |  |  |  |  | 
恶魔 | 魔王降临 | 4 | 攻击 | 职业 | 【前/中/后】【献祭25HP】造成45伤害。击杀回复30HP | 紫 | 5 | +4伤害 | 20/级 |  |  |  |  |  |  |  |  | 
恶魔 | 无尽血刃 | 3 | 攻击 | 职业 | 【前/中/后】【献祭25%HP】造成25伤害，使用后此牌伤害在本场战斗中翻倍 | 橙 | 5 | +5伤害 | 30/级 |  |  |  |  |  |  |  |  | 
恶魔 | 分血仪式 | 7 | 状态 | 职业 | 【消耗】在本场战斗中，当恶魔回复HP时治疗其他我方角色30%的回复量 | 橙 | 4 | +5%回复HP | 30/级 |  |  |  |  |  |  |  |  | 
恶魔 | 最终鲜血仪式 | 3 | 状态 | 职业 | 【消耗】在本场战斗中，每当使用者触发【献祭】关键词，抽一张牌并回复5HP | 橙 | 5 | +1回复HP | 30/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蛇牙撕咬 | 1 | 攻击 | 职业 | 【前/中/后】造成5伤害，对目标施加2层中毒（3回合） | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蟒蛇守护 | 1 | 防御 | 职业 | 获得10护甲，并对自身施加1层中毒（1回合） | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 鳞片硬化 | 1 | 防御 | 职业 | 获得8护甲，如果自身有中毒状态，则额外获得6护甲 | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 剧毒之触 | 1 | 攻击 | 职业 | 【前/中/后】造成2伤害，对目标施加1层中毒（3回合），若对方的速度慢于你，则改为施加5层中毒（2回合） | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 女王威信 | 1 | 状态 | 职业 | 抽1张牌 | 白 | 1 | +1抽牌数 | 8/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蛇尾突袭 | 1 | 攻击 | 职业 | 【前/中/后】造成7伤害。可以在缠绕期间使用 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 毒鳞 | 1 | 防御 | 职业 | 【应对攻击】获得50%减伤，对攻击者施加3层中毒（永久） | 绿 | 5 | +1层中毒 | 10/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蛇王护佑 | 2 | 防御 | 职业 | 使我方随机一名角色获得虚化（1回合） | 绿 | - | - | - |  |  |  |  |  |  |  |  | 
毒蛇女王 | 毒液喷吐 | 2 | 攻击 | 职业 | 【前/中/后】造成4伤害，对目标施加4层中毒（3回合） | 绿 | 5 | +1层中毒 | 10/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 引爆毒囊 | 2 | 状态 | 职业 | 【前/中/后】目标身上所有中毒伤害立刻结算，并清除所有中毒层数（伤害=中毒层数×持续时间，永久在此视为3回合） | 蓝 | - | - | - | 对方身上如果有不同持续时间的中毒，则分别计算后相加 |  |  |  |  |  |  |  | 
毒蛇女王 | 消化剧毒 | 0 | 状态 | 职业 | 【快速启动】回复2点能量，并对自身施加8层中毒（2回合） | 蓝 | - | - | - |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蜕皮 | 1 | 状态 | 职业 | 清除自身所有中毒，每层回复3HP | 蓝 | 5 | +1回复HP | 15/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蛇信感知 | 0 | 状态 | 职业 | 【应对状态】使目标获得3层中毒（2回合）。可以在缠绕期间使用 | 蓝 | 5 | +1层中毒 | 15/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 女王的预防 | 1 | 防御 | 职业 | 【应对攻击】获得60%减伤。可以在缠绕期间使用 | 蓝 | 5 | +5%减伤 | 15/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 毒囊破裂 | 2 | 状态 | 职业 | 【消耗】在本场战斗中，每当自身施加中毒，额外施加1层 | 蓝 | 2 | +1层中毒 | 15/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 毒裂盛宴 | 4 | 状态 | 职业 | 【AOE】目标身上所有中毒伤害立刻结算，并清除所有中毒层数（伤害=中毒层数×持续时间，永久在此视为3回合） | 紫 | - | - | - | 对方身上如果有不同持续时间的中毒，则分别计算后相加 |  |  |  |  |  |  |  | 
毒蛇女王 | 巨蟒绞杀 | 4 | 攻击 | 职业 | 【前/中/后】缠绕一个目标，使其每回合开始时受到35伤害，持续2回合。缠绕期间，毒蛇女王无法使用卡牌 | 紫 | 5 | +5伤害 | 20/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 不朽蛇蜕 | 2 | 状态 | 职业 | 【消耗】在本场战斗中，每当自身获得中毒状态时（无论是否免疫），获得10%增伤（5回合） | 紫 | 5 | +2%增伤 | 20/级 |  |  |  |  |  |  |  |  | 
毒蛇女王 | 剧毒反哺 | 3 | 状态 | 职业 | 将自身一半的中毒层数转移到随机敌人身上 | 紫 | - | - | - |  |  |  |  |  |  |  |  | 
毒蛇女王 | 万蛇噬心 | 5 | 攻击 | 职业 | 【AOE】缠绕所有目标，使其每回合开始时受到20伤害，持续2回合。缠绕期间，毒蛇女王无法使用卡牌 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
毒蛇女王 | 祈求远古蛇神 | 3 | 状态 | 职业 | 【消耗】对自身施加50%易伤且无法使用卡牌，持续2回合。第3回合开始时及之后的每回合开始时，将一张【蛇神的回应】置入玩家手牌（不占用抽牌数） | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
毒蛇女王 | 蛇神的回应 | 0 | 状态 | 职业 | 【消耗】随机触发以下效果之一：【AOE】造成25伤害、【AOE】施加10层中毒（永久）、对随机一名敌人造成75伤害 | 橙 | 5 | +5伤害，+2层中毒 | 30/级 | 衍生物，不能直接获取加入卡组 |  |  |  |  |  |  |  | 
巫妖女王 | 虚化形态 | 1 | 防御 | 职业 | 获得虚化（1回合），本回合自身无法使用任何牌（选牌阶段就无法选择） | 白 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 空洞凝视 | 1 | 状态 | 职业 | 抽1张牌，如果自身处于虚化状态则抽2张 | 白 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 蓄能 | 1 | 状态 | 职业 | 下回合开始时，获得20%增伤（3回合） | 白 | 5 | +2%增伤 | 8/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 幽灵爪击 | 1 | 攻击 | 职业 | 【前/中/后】造成7伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 聚能 | 0 | 状态 | 职业 | 【快速启动】【献祭10HP】获得2点能量 | 白 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵体漫步 | 2 | 防御 | 职业 | 自身受到8伤害，获得虚化（1回合） | 绿 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵能炮 | 2 | 攻击 | 职业 | 【前/中/后】下回合开始时，对目标造成13伤害 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 恐惧低语 | 0 | 状态 | 职业 | 【快速启动】看破1个敌人隐藏的意图 | 绿 | - | - | - | 仅限PVE模式 |  |  |  |  |  |  |  | 
巫妖女王 | 灵魂风暴 | 3 | 攻击 | 职业 | 【AOE】下回合开始时，造成10伤害 | 蓝 | 5 | +1伤害 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 两界行者 | 1 | 状态 | 职业 | 在本回合中，受到下次攻击后，获得虚化（1回合） | 蓝 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵魂吞噬 | 1 | 状态 | 职业 | 选择一名我方角色，让其受到10点伤害，然后获得3能量 | 蓝 | 1 | 变为0点能量消耗 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵能体 | 2 | 状态 | 职业 | 【消耗】在本场战斗中，我方在非战斗回合造成的伤害拥有20%增伤 | 蓝 | 5 | +2%增伤 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵魂强化 | 2 | 状态 | 职业 | 【献祭10HP】使其他我方角色获得25%增伤（2回合） | 蓝 | 5 | +2%增伤 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵界爆发 | 3 | 攻击 | 职业 | 【前/中】造成15伤害，如果自身处于虚化状态，则脱离虚化并改为造成30伤害 | 蓝 | 5 | +2伤害 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵能聚集 | 2 | 状态 | 职业 | 【前/中】自身获得20%增伤，并在下回合开始时对目标造成12伤害 | 蓝 | 5 | +2伤害 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵界封印 | X | 状态 | 职业 | 【消耗】使敌方使用的下一张卡失效，本卡消耗的能量等于下一张牌的费用+1 | 蓝 | 1 | 费用-1 | 15/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵魂挽歌 | 4 | 攻击 | 职业 | 【AOE】造成8伤害，在本场远征中自身每进入过一次虚化状态，则造成+1额外伤害 | 紫 | 2 | +1额外伤害 | 20/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 召唤卡牌之灵 | 3 | 状态 | 职业 | 抽2张牌，这些牌的能量消耗-2 | 紫 | 2 | +1抽牌数 | 20/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 召唤混乱之灵 | 3 | 状态 | 职业 | 【消耗】【快速启动】抽牌至手牌上限，将所有卡牌的能量消耗打乱（随机交换） | 紫 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 叹息之墙 | 2 | 防御 | 职业 | 【应对攻击】获得80%减伤，使随机一个我方角色获得虚化（1回合） | 紫 | 5 | +2%减伤 | 20/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 绝望之魂 | 0 | 攻击 | 职业 | 【前/中/后】造成10伤害。当巫妖女王获得虚化时，从弃牌堆直接加入手牌 | 紫 | 5 | +2伤害 | 20/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 灵界降临 | 8 | 状态 | 职业 | 【消耗】【快速启动】所有手牌在本回合变成0点能量消耗 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
巫妖女王 | 超级·无敌·灵能·巨炮 | 10 | 攻击 | 职业 | 【继承】【前/中/后】造成100伤害 | 橙 | 5 | +10伤害 | 30/级 |  |  |  |  |  |  |  |  | 
巫妖女王 | 永恒虚无 | 5 | 状态 | 职业 | 【消耗】获得虚化（永久），但每回合受到自身25%最大HP的真实伤害 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
