=== Sheet: 事件 (dims=A1:G129, rows=129, cols=7) ===
远征事件总览 |  |  |  |  |  | 
神秘旅者  |  |  |  |  |  | 
戴兜帽的旅者摊开手掌，展示发光的物品。
「交易，还是离开？」 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 阅读 | 随机 1 人 -10 HP | 随机蓝色卡牌和全队+5经验 | 单人扣血 → 卡牌领取 | 书页自行翻动，一段文字钻入你的脑海，伴随刺痛，但你也学到了新的招式。 | 
B | 撕页带走 | — | 古卷残页 ×1 | — | 你迅速撕下一页塞进口袋，书架发出一阵不满的震动。 | 
C | 合上书 | — | 无事发生 | — | 你合上书本，书架重新归于沉寂。 | 
冒险者的复仇 |  |  |  |  |  | 
被你搜刮过的冒险者带着同伴出现了，他们似乎想讨要一个说法... |  |  |  |  |  | 
触发条件：需先搜刮受伤冒险者 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 道歉赔偿（40 金币） | 40 金 | 和解；下 3 层节点类型可见 | — | 你递上金币诚恳道歉，对方接过后冷哼一声，但还是放你通过并透露了前路的情报。 | 
B | 应战 | — | 2 骷髅兵战斗；胜利 +30 金和全队+8经验 | 战斗 → 金币领取 | 冒险者和同伴缓缓摘下伪装，露出阴森白骨，冰冷的说:"那就偿命吧..." | 
C | 逃跑 | 全队 -5% HP | — | 扣血动画 | 你转身就跑，对方的追击让全队受了些轻伤。 | 
训练人偶 |  |  |  |  |  | 
破旧训练人偶仍可用于练习。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 全队训练 | 全队 -10% HP | 整场远征中所有我方角色获得5%强固（永久），全队+5经验 | 扣血动画 | 全队轮番对人偶展开特训，虽然消耗了不少体力，但每个人的防御技巧都有所提升。 | 
B | 单人特训 | 1 人 -20% HP | 该角色选择1张卡升1级并获得+10经验 | 选人扣血 → 同角色加攻 | 一名角色独自苦练到精疲力竭，但攻击力得到了显著提升。 | 
C | 休息 | — | 全队 +10% HP | 治疗动画 | 队伍围坐在人偶旁稍作休整，恢复了些体力。 | 
灵魂裂隙 |  |  |  |  |  | 
紫色能量从空间裂缝中涌出。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 吸收能量 | — | 能量上限 +1；每场战斗开始随机 1 人 -5% HP | 战斗开始时扣血 | 你将手伸入裂缝，紫色能量涌入体内，增强了你的能量上限，但狂暴的能量也留下了更深的隐患。 | 选择后该事件在本次远征中不再出现
B | 封印裂隙 | 移除 1 张卡牌 | 随机遗物 | 选卡面板 → 遗物领取 | 你献上一张卡牌试图封住裂缝，过了一会卡牌消失，但裂隙中弹出了一件遗物。 | 选择后该事件在本次远征中不再出现
C | 绕行 | — | 无事发生 | — | 你绕开裂缝，紫光在你身后悄然闭合。 | 
流浪铁匠 |  |  |  |  |  | 
驼背铁匠的炉火仍在燃烧。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 强化卡牌（15 金币） | 15 金 | 1张卡牌升1级 | 背包式选卡 + 确认 | 铁匠接过金币，用锤子在你选中的卡牌上敲打出新的纹路，使其威力增强。 | 
B | 融合卡牌 | 销毁 2 张同类型牌 | 随机获得更高品质牌 | 选两张卡 + 确认→奖励领取 | 铁匠将两张卡牌投入炉火，熔炼出一张品质更高的新卡牌。 | 
C | 无视离开 | — | 无事发生 | — | 铁匠摆摆手，继续摆弄手中的工具。 | 
疲惫营地 |  |  |  |  |  | 
废弃营地余烬未熄，可以休整。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 深度休息 | — | 跳过下一层路线；全队 +30% HP | 治疗动画 | 队伍睡了一夜好觉，醒来时神清气爽，但隐隐感觉迷失了原本的方向。 | 
B | 简单休息 | — | 全队 +15% HP | 治疗动画 | 队伍稍作小憩，恢复了一些体力后继续上路。 | 
C | 搜索营地 | — | 10–25 随机金币 | 金币领取界面 | 你在灰烬中翻找，发现了几枚遗留的金币。 | 
玉匠工坊 |  |  |  |  |  | 
老工匠看到你的翡翠原石，眼睛一亮。 |  |  |  |  |  | 
触发条件：需持有翡翠原石 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 打磨为戒指 | — | 翡翠原石 → 翡翠戒指 | — | 老工匠仔细打磨原石，将其雕琢成一枚闪烁的戒指。 | 
B | 雕刻为短刀 | — | 翡翠原石 → 翡翠短刀 | — | 老工匠精心雕刻原石，制成了一把锋利的翡翠短刀。 | 
C | 离开 | — | 无事发生 | — | 你摇头谢绝，老工匠遗憾地叹了口气。 | 
古老熔炉 |  |  |  |  |  | 
远古熔炉仍在燃烧，靴子似乎有所回应。 |  |  |  |  |  | 
触发条件：需持有燃烬之靴 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 以血淬火 | 全队 -10% HP | 燃烬之靴 → 赤红烈焰靴 | 扣血动画 | 队伍将血液滴入熔炉，靴子在烈焰中重塑，散发出赤红的光芒。 | 
B | 保留原样 | — | 无事发生 | — | 你决定不冒险，靴子安静地留在原处。 | 
C | 探索熔炉 | — | 40% 遇见石傀儡x1战斗（胜利给+10经验） / 30% 随机遗物 / 30% 无事发生 | — | 40%：一只石傀儡从熔渣中苏醒并发起攻击。
30%：你在炉灰中翻找出一件遗物。
30%：你仔细搜索了一番，但什么也没找到。 | 
深渊低语 |  |  |  |  |  | 
黑暗中的呢喃让你感到诱惑，那是恶魔的低语... |  |  |  |  |  | 
触发条件：队伍需有恶魔 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 倾听低语 | 恶魔 -20% HP | 恶魔获得紫卡「魔王降临」1张 | 单人扣血 → 卡牌领取 | 低语在恶魔耳边回响，伴随着剧痛，一张全新的禁忌卡牌悄然融入了它的牌组。 | 
B | 献出记忆 | 移除 1 张卡牌 | 恶魔随机1张牌升2级 | 选择删卡 | 你献祭一张卡牌作为代价，黑暗低语中暗藏的祝福让全队的力量微微增强。 | 
C | 离开 | — | 无事发生 | — | 你捂住耳朵快步离开，低语逐渐消失在黑暗中。 | 
魔焰祭坛 |  |  |  |  |  | 
这是邪恶的仪式，它的力量诱惑着你... |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 加入仪式 | — | 玩家获得魔焰颅骨遗物 | 遗物领取 | 你在仪式中感到力量被抽走，两眼昏暗。当你再次睁眼，一颗诡异的颅骨出现在你手中。 | 
B | 上前查看 | — | 进入对应层数精英战斗 | 正常战斗结束奖励获取 | 你上前查看仪式祭坛，突然几个影子从黑暗中蹦出，他们笑着靠近你... | 
C | 悄悄离开 | — | 无事发生 | — | 你悄悄的离开，仪式的呼唤逐渐消失在黑暗中。 | 
